Destination Port, Flow Duration, Total Fwd Packets, Total Length of Fwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Bwd Packet Length Max, Bwd Packet Length Min, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Min, Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min, Fwd PSH Flags, Fwd URG Flags, Fwd Header Length, Bwd Header Length, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Variance, FIN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, Down/Up Ratio, Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward, Active Mean, Active Std, Active Max, Active Min, Idle Std, Label
80,2.15784e+06,7,631,631,0,90.1429,1436,0,1030.2,5.56111,196168,605056,2.10914e+06,2,359640,782546,10,6223,1555.75,2655.38,6155,22,0,0,232,168,2.31713,0,1436,185.25,172732,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,2.15816e+06,7,520,520,0,74.2857,1292,0,911.887,5.56028,196197,606304,2.11316e+06,2,359694,784304,14,4830,1207.5,2055.66,4768,15,0,0,232,168,2.31679,0,1292,164,136771,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,3.18416e+06,8,335,335,0,41.875,1466,0,614.604,4.0827,265347,623751,2.11315e+06,2,454881,762072,18,7187,1796.75,1902.39,4543,21,0,0,272,168,1.57027,0,1466,150.538,153163,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
80,1.16886e+06,8,236,236,0,29.5,1242,0,1397.94,11.122,97404.9,280533,1.02311e+06,3,166980,351134,16,4218,1054.5,1208.32,2976,21,0,0,272,168,4.27768,0,1242,125.692,109017,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
80,2.18879e+06,8,544,544,0,68,1336,0,930.196,5.93936,182399,397776,1.12152e+06,2,312684,480110,16,5655,1413.75,2036.81,4908,19,0,0,272,168,2.28437,0,1336,156.615,137408,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
80,2.18905e+06,7,428,428,0,61.1429,1282,0,852.426,5.48184,199004,614509,2.14188e+06,2,364841,794860,10,4670,1167.5,1984.64,4605,19,0,0,232,168,2.2841,0,1282,155.5,130073,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,2.18926e+06,7,435,435,0,62.1429,1366,0,893.907,5.48129,199024,614506,2.14188e+06,2,364878,794848,11,4305,1076.25,1824.86,4237,20,0,0,232,168,2.28387,0,1366,163.083,146697,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,2.1895e+06,7,473,473,0,67.5714,1426,0,938.569,5.48069,199046,614504,2.14188e+06,2,364917,794837,13,3951,987.75,1672.15,3884,19,0,0,232,168,2.28362,0,1426,171.25,160802,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,3.21247e+06,8,456,456,0,57,1406,0,628.177,4.04673,267706,631940,2.14589e+06,2,458925,772555,15,3742,935.5,1555.81,3630,19,0,0,272,168,1.55643,0,1406,155.231,145835,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
80,3.21384e+06,7,385,385,0,55,1278,0,565.99,3.73385,292167,908821,3.16586e+06,4,535640,1.17637e+06,15,5936,1484,1938.24,4745,19,0,0,232,168,1.55577,0,1278,151.583,127510,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,3.21403e+06,7,421,421,0,60.1429,1298,0,583.38,3.73363,292184,908820,3.16587e+06,2,535672,1.17636e+06,13,5461,1365.25,2326,5394,20,0,0,232,168,1.55568,0,1298,156.25,132784,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,3.21488e+06,7,432,432,0,61.7143,1436,0,629.573,3.73265,292261,908798,3.16587e+06,4,535812,1.1763e+06,16,5725,1431.25,2110.41,5062,20,0,0,232,168,1.55527,0,1436,168.667,160973,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,3.2187e+06,7,387,387,0,55.2857,1218,0,547.115,3.72821,292609,909963,3.16991e+06,4,536450,1.17782e+06,20,6071,1517.75,1502.97,3279,26,0,0,232,168,1.55342,0,1218,146.75,116600,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,113586,7,522,522,0,74.5714,1290,0,17326.1,105.647,10326,21177.4,66336,1,18931,25681.9,12,6428,1607,2746.46,6364,20,0,0,232,168,44.0195,0,1290,164,136514,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
