Interface eth0, index:6, IP address: 172.17.0.2
eBPF program attached to traffic control subsystem
Packet Capture Started, Please Ctrl+C to stop

flow gen, 172.17.0.1-172.17.0.2-57084-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57100-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57112-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57118-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57130-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57136-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57148-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57162-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57166-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57174-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57178-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57192-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57206-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57222-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57232-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57248-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57252-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57262-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57276-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57288-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57294-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57308-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57324-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57340-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57346-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57362-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57376-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57384-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57390-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57394-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57410-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57426-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57440-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57450-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57454-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57466-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57480-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57486-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57494-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57504-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57516-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57528-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57532-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57546-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57552-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57566-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57582-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57586-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57588-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57600-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57612-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57618-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57628-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57640-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57644-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57650-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57656-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57662-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57678-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57682-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57684-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57686-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57702-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57718-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57732-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57736-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57740-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57744-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57754-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57756-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57762-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57772-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57784-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57796-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57812-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57826-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57830-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57832-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57834-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57840-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57846-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57858-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57870-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57874-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57890-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57896-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57910-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57920-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57936-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57948-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57960-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57970-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57978-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-57986-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58000-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58002-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58012-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58018-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58022-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58034-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58036-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58050-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58062-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58066-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58080-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58096-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58104-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58112-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58118-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58134-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58140-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58156-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58170-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58180-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58192-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58208-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58216-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58228-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58240-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58254-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58268-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58276-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58282-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58294-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58302-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58312-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58320-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58328-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58342-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58348-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58360-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58366-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58380-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58392-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58396-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58400-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58410-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58426-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58432-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58434-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58448-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58454-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58466-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58472-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58484-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58494-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58500-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58508-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58514-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58518-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58522-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58528-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58530-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58544-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58546-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58548-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58552-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58568-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58584-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58586-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58590-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58606-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58610-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58612-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58624-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58626-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58640-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58642-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58646-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58658-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58668-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58670-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58682-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58688-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58694-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58698-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58700-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58706-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58720-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58732-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58746-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58754-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58762-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58768-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58772-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58778-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58792-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58794-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58798-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58814-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58826-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58840-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58856-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58872-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58878-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58884-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58898-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58906-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58916-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58932-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58942-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58948-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58954-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58962-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58970-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58978-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58982-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-58994-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59004-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59012-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59016-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59024-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59026-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59042-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59054-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59056-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59070-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59078-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59090-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59092-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59108-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59122-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59126-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59138-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59154-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59162-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59178-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59194-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59208-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59210-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59222-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59224-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59234-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59242-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59258-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59272-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59286-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59296-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59308-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59320-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59332-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59338-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59340-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59354-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59360-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59374-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59384-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59394-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59410-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59422-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59436-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59444-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59458-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59472-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59486-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59496-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59502-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59510-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59524-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59528-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59536-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59544-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59554-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59566-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59582-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59586-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59598-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59610-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59614-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59622-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59636-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59640-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59652-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59656-80-6, predict result: BENIGN
flow gen, 172.17.0.1-172.17.0.2-59668-80-6, predict result: BENIGN
